,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1·2·3·4가동,종로5·6가동,이화동,창신1동,창신2동,창신3동,숭인1동,숭인2동,청운효자동,혜화동,소공동,회현동,명동,필동,장충동,광희동,을지로동,신당5동,황학동,중림동,신당동,다산동,약수동,청구동,동화동,후암동,용산2가동,남영동,원효로2동,효창동,용문동,이촌1동,이촌2동,이태원1동,이태원2동,서빙고동,보광동,청파동,원효로1동,한강로동,한남동,왕십리2동,마장동,사근동,행당1동,행당2동,응봉동,금호1가동,금호4가동,성수1가1동,성수1가2동,성수2가1동,성수2가3동,송정동,용답동,왕십리도선동,금호2·3가동,옥수동,화양동,군자동,중곡1동,중곡2동,중곡3동,중곡4동,능동,구의1동,구의2동,구의3동,광장동,자양1동,자양2동,자양3동,자양4동,회기동,휘경1동,휘경2동,청량리동,용신동,제기동,전농1동,전농2동,답십리2동,장안1동,장안2동,이문1동,이문2동,답십리1동,면목2동,면목4동,면목5동,면목7동,상봉1동,상봉2동,중화1동,중화2동,묵1동,묵2동,망우3동,신내1동,신내2동,면목본동,면목3·8동,망우본동,돈암1동,돈암2동,안암동,보문동,정릉1동,정릉2동,정릉3동,정릉4동,길음1동,길음2동,월곡1동,월곡2동,장위1동,장위2동,장위3동,성북동,삼선동,동선동,종암동,석관동,번1동,번2동,번3동,수유1동,수유2동,수유3동,삼양동,미아동,송중동,송천동,삼각산동,우이동,인수동,쌍문1동,쌍문2동,쌍문3동,쌍문4동,방학1동,방학2동,방학3동,창1동,창2동,창3동,창4동,창5동,도봉1동,도봉2동,월계1동,월계2동,월계3동,공릉2동,하계1동,하계2동,중계본동,중계1동,중계4동,상계1동,상계2동,상계5동,상계8동,상계9동,상계10동,상계3·4동,상계6·7동,중계2·3동,공릉1동,녹번동,불광1동,갈현1동,갈현2동,구산동,대조동,응암1동,응암2동,신사1동,신사2동,증산동,수색동,진관동,불광2동,응암3동,역촌동,천연동,홍제1동,홍제3동,홍제2동,홍은1동,홍은2동,남가좌1동,남가좌2동,북가좌1동,북가좌2동,충현동,북아현동,신촌동,연희동,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동,목1동,목2동,목3동,목4동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정6동,신정7동,목5동,신정4동,염창동,등촌1동,등촌2동,등촌3동,화곡본동,화곡2동,화곡3동,화곡4동,화곡6동,화곡8동,가양1동,가양2동,가양3동,발산1동,공항동,방화1동,방화2동,방화3동,화곡1동,우장산동,신도림동,구로1동,구로3동,구로4동,구로5동,고척1동,고척2동,개봉2동,개봉3동,오류1동,수궁동,가리봉동,구로2동,개봉1동,오류2동,항동,가산동,독산1동,독산2동,독산3동,독산4동,시흥1동,시흥2동,시흥3동,시흥4동,시흥5동,여의동,당산1동,당산2동,양평1동,양평2동,신길1동,신길3동,신길4동,신길5동,신길6동,신길7동,대림1동,대림2동,대림3동,영등포본동,영등포동,도림동,문래동,노량진2동,상도1동,상도2동,상도3동,상도4동,사당1동,사당3동,사당4동,사당5동,대방동,신대방1동,신대방2동,흑석동,노량진1동,사당2동,보라매동,청림동,행운동,낙성대동,중앙동,인헌동,남현동,서원동,신원동,서림동,신사동(관악),신림동,난향동,조원동,대학동,은천동,성현동,청룡동,난곡동,삼성동,미성동,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동,신사동,논현1동,논현2동,삼성1동,삼성2동,대치1동,대치4동,역삼1동,역삼2동,도곡1동,도곡2동,개포1동,개포4동,일원본동,일원1동,개포3동,수서동,세곡동,압구정동,청담동,대치2동,개포2동,풍납1동,풍납2동,거여1동,거여2동,마천1동,마천2동,방이1동,방이2동,오륜동,오금동,송파1동,송파2동,석촌동,삼전동,가락본동,가락1동,가락2동,문정1동,문정2동,잠실본동,잠실4동,잠실6동,잠실7동,잠실2동,잠실3동,장지동,위례동,강일동,상일동,명일1동,명일2동,고덕1동,고덕2동,암사2동,암사3동,천호1동,천호3동,성내1동,성내2동,성내3동,둔촌1동,둔촌2동,암사1동,천호2동,길동,
길음2동,0,1,0,9,0,0,2,0,2,3,1,1,0,1,3,3,3,0,2,0,0,1,3,4,4,6,5,0,0,0,2,1,1,1,0,0,2,5,0,0,2,3,0,0,1,3,2,1,2,8,1,3,6,0,2,2,2,1,3,0,0,3,18,3,17,2,0,0,0,0,0,0,1,1,0,1,4,1,8,11,0,0,0,3,16,1,17,1,0,1,0,0,4,0,0,0,1,5,2,0,2,3,2,0,1,8,4,1,6,1,37,21,7,1,31,7,9,15,221,0,62,7,20,6,18,9,8,15,81,11,6,2,3,15,11,18,17,23,65,74,35,7,14,6,4,4,7,14,1,3,4,8,1,2,7,5,14,8,7,5,5,3,0,6,30,2,3,2,6,2,3,6,15,10,0,0,7,0,0,2,0,3,2,5,2,0,0,15,12,3,0,1,0,0,1,0,1,4,0,2,0,0,5,3,1,6,0,1,1,2,3,0,1,1,1,3,3,0,3,1,4,14,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,4,2,2,1,0,0,1,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,0,1,1,1,0,3,0,0,0,1,0,0,0,1,1,0,3,1,0,0,0,1,1,0,0,0,4,3,1,0,0,1,0,1,0,0,1,0,1,0,0,6,0,4,0,6,4,0,2,4,0,0,2,2,2,2,3,2,4,0,1,1,1,0,3,0,3,1,1,0,4,0,0,3,0,0,1,0,1,0,0,2,1,1,8,0,1,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,4,1,14,4,7,2,2,2,0,1,0,8,0,0,18,14,0,0,1,1,0,0,0,1,3,1,8,1,2,2,5,7,3,0,3,0,6,8,0,7,4,2,1,0,7,2,0,7,4,0,0,3,1,4,4,4,0,0,0,1,4,1765
월곡1동,0,0,1,5,0,0,0,1,0,5,4,0,0,3,3,0,0,0,0,0,0,1,1,3,1,10,0,0,2,3,2,0,1,0,0,10,0,1,0,0,0,0,2,1,1,1,1,1,2,1,2,5,1,0,1,0,1,0,0,6,2,3,6,8,3,1,0,1,2,2,0,0,0,1,0,4,5,1,1,1,0,2,2,1,5,10,3,0,5,1,0,4,2,2,3,1,1,1,2,2,0,4,7,0,0,2,3,4,8,3,5,5,16,3,10,7,3,14,50,56,0,95,43,13,30,3,7,10,70,15,11,16,6,10,10,12,3,22,94,16,20,1,20,0,4,2,4,3,3,4,11,14,8,11,5,6,3,8,5,7,4,10,7,5,13,4,1,4,0,5,1,3,16,3,4,3,0,1,0,1,0,3,2,5,1,2,1,4,1,1,1,0,3,2,0,0,3,11,1,0,0,1,1,0,2,1,3,2,1,0,3,1,0,0,0,1,2,0,0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,2,2,4,0,0,2,0,3,0,0,0,2,0,0,5,6,0,0,0,1,3,1,1,1,0,1,8,0,0,0,2,0,0,0,2,0,2,3,0,0,1,2,0,1,0,0,0,1,1,1,1,1,2,5,1,0,1,0,0,1,0,5,1,2,0,0,5,5,1,0,0,0,0,1,2,5,0,2,2,1,1,0,1,4,2,0,1,2,0,1,1,3,1,3,1,4,0,3,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,0,6,1,1,7,2,0,0,0,0,0,0,0,0,2,0,0,0,21,0,2,0,0,1,0,0,0,0,5,0,0,2,1,5,2,2,0,3,2,0,0,1,1,3,0,0,0,2,1,0,5,4,2,2,0,2,2,2,0,0,1,0,1,6,1394
월곡2동,1,1,0,4,1,1,0,0,5,0,1,0,3,0,3,0,4,0,0,0,0,0,0,1,0,9,0,1,1,4,1,2,2,3,2,1,1,3,0,0,0,2,0,2,1,4,3,1,0,2,1,0,4,0,6,0,1,1,0,0,0,8,10,4,7,8,2,1,4,5,2,2,0,0,2,3,1,0,1,8,1,5,4,13,6,9,20,0,0,2,5,8,7,2,0,0,2,4,4,6,3,4,7,1,1,7,1,5,2,4,11,4,9,12,4,12,2,11,13,22,122,0,48,82,35,3,7,11,79,72,8,1,4,7,6,8,15,18,14,14,5,8,7,1,6,1,1,8,2,2,10,7,7,9,3,0,1,6,6,10,8,9,7,2,4,3,4,1,3,2,1,0,12,6,8,7,2,2,0,4,0,5,1,1,7,2,4,4,1,0,3,1,6,4,0,3,0,1,0,1,0,2,2,0,4,3,0,1,0,2,1,4,0,5,0,5,2,1,6,0,3,2,3,0,0,0,1,5,2,0,0,0,0,0,0,1,1,0,0,4,1,3,0,0,1,0,1,1,2,1,4,0,1,3,1,3,0,0,4,4,3,0,5,1,4,1,0,0,0,3,2,0,0,1,0,0,4,5,1,0,0,2,1,0,0,0,0,6,1,3,0,0,0,0,0,1,3,0,1,0,1,6,4,2,0,3,6,3,1,5,0,1,0,1,1,0,0,5,0,0,0,5,5,0,0,0,4,3,3,0,5,0,3,3,3,0,4,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,0,1,0,2,0,1,4,4,0,0,3,1,0,1,0,0,6,0,2,0,6,0,0,1,1,0,1,0,3,5,1,2,1,1,2,7,3,1,0,4,6,3,0,0,4,0,0,1,0,3,0,1,3,0,0,3,0,2,0,4,0,0,0,0,4,4,1493
장위1동,0,0,0,1,1,0,0,5,0,0,0,0,7,6,2,0,3,0,0,0,0,1,1,2,1,4,2,0,0,1,6,0,2,0,1,1,1,0,4,3,0,1,0,0,1,0,0,0,1,2,4,2,7,1,0,1,0,0,1,0,1,6,10,1,5,5,3,4,1,4,4,1,4,1,4,0,2,0,3,2,2,2,2,0,6,4,10,5,1,0,7,3,4,6,2,2,5,2,2,8,1,10,8,9,3,2,3,6,1,4,1,9,3,6,7,12,4,9,28,35,53,29,0,97,113,1,12,4,20,60,11,17,36,11,10,30,13,11,26,18,11,16,17,9,8,6,7,6,9,12,7,13,3,6,9,2,12,31,17,25,3,4,12,6,9,3,7,6,13,6,5,4,20,8,0,11,8,1,0,3,5,3,1,0,0,4,0,0,0,5,0,4,2,3,0,6,1,9,1,0,4,2,0,3,7,1,3,0,2,0,3,0,1,0,1,0,2,1,0,0,0,14,0,0,1,0,1,0,0,0,0,1,1,4,0,0,3,0,0,0,4,3,1,2,2,5,2,0,2,3,4,5,0,0,3,0,1,1,4,1,1,0,0,0,3,3,0,2,0,2,0,0,0,0,0,1,7,3,1,0,3,0,0,0,2,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,3,0,2,4,2,0,0,0,1,0,1,6,1,0,2,1,4,0,2,1,0,3,1,5,2,4,0,0,4,2,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,7,0,1,0,4,0,0,1,0,0,6,0,0,4,8,1,4,0,2,1,0,4,5,0,2,1,0,1,0,1,0,0,1,0,0,3,0,1,0,2,2,1,2,4,3,0,4,3,1,0,0,1,0,1,0,0,2,0,3,2,1629
장위2동,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,2,1,0,4,1,0,1,2,2,1,0,0,1,0,0,0,0,2,0,0,0,0,5,3,6,0,1,2,0,1,0,2,3,0,3,0,5,9,1,9,10,4,2,8,6,0,4,4,4,1,1,1,5,1,0,2,2,2,21,76,100,0,44,2,3,1,13,127,4,12,12,3,5,3,5,4,10,5,1,3,3,8,2,4,2,2,1,2,2,2,6,10,7,5,3,12,14,12,8,7,4,6,4,0,5,2,2,6,0,1,6,2,4,11,1,1,0,0,0,2,0,1,0,0,0,7,1,2,2,5,0,0,0,0,1,0,0,0,0,0,1,0,2,3,2,1,0,0,0,1,0,0,0,1,2,0,2,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,2,0,2,1,0,0,1,1,0,0,4,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,1,0,2,4,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,3,2,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,1,0,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,2,920
장위3동,0,0,0,0,0,5,0,1,1,0,2,1,0,0,7,0,4,0,0,0,0,0,0,1,1,6,2,1,2,0,2,2,0,1,0,0,0,1,1,2,0,0,0,1,6,2,3,1,3,4,1,0,2,3,0,0,3,0,1,3,0,3,5,3,1,2,1,4,0,0,0,1,0,0,2,3,2,1,0,3,1,1,0,4,8,2,24,0,1,0,2,1,6,3,0,0,8,1,0,3,1,3,2,6,1,1,3,9,2,17,2,5,4,2,9,4,2,6,26,18,15,25,120,35,0,2,2,6,22,51,6,9,21,3,4,4,1,6,11,4,6,5,3,3,6,3,5,1,3,1,2,3,1,5,6,3,6,58,38,21,12,20,16,13,52,0,7,3,0,1,2,8,9,8,3,5,1,0,1,0,0,1,1,2,1,0,0,12,0,0,2,0,0,0,0,0,0,3,4,3,0,0,0,6,1,3,4,0,5,0,1,0,1,0,0,0,1,4,1,0,1,10,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,4,1,4,1,0,0,1,0,0,0,2,0,1,1,0,0,4,1,0,3,1,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0,6,1,2,2,1,0,0,0,0,1,0,0,2,1,1,2,1,0,0,2,0,1,2,0,0,0,0,5,1,2,0,0,0,0,0,4,2,1,0,0,0,0,1,2,1,1,0,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,8,1,3,0,0,0,0,0,4,1,1,0,0,0,2,5,0,0,3,3,0,0,8,0,1,0,0,0,15,0,1,8,2,0,0,0,1,0,0,0,0,0,3,0,0,2,1,0,5,0,0,2,2,3,0,0,5,4,0,2,7,7,3,0,12,6,0,0,0,5,0,3,0,0,0,1,12,3,1301
성북동,10,1,6,8,3,12,10,11,2,13,0,0,6,9,6,2,59,6,2,2,0,1,6,6,4,5,3,2,2,3,7,3,2,6,0,4,3,3,8,1,1,6,6,0,0,2,3,6,3,2,1,3,2,0,1,1,0,1,4,0,0,5,10,0,10,3,1,4,6,0,1,2,3,1,2,3,2,1,2,1,0,1,0,0,4,6,7,0,2,0,0,2,3,1,1,1,0,1,2,1,2,1,2,0,4,8,0,0,2,0,14,81,21,36,9,37,5,17,20,19,3,7,0,6,1,0,138,64,8,3,5,2,2,10,4,12,2,9,8,8,11,2,5,7,3,1,0,5,0,3,3,7,2,4,5,1,2,0,1,4,1,2,0,1,0,7,2,1,6,2,0,5,1,2,3,7,1,4,0,4,0,4,1,0,1,0,0,5,1,3,2,4,1,1,1,1,2,0,4,0,1,0,1,3,5,5,0,2,1,0,7,3,3,2,2,1,6,3,3,6,3,5,1,2,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,8,5,2,0,3,1,1,0,2,0,1,5,0,1,2,1,0,1,0,2,1,1,0,2,0,1,3,1,0,0,2,1,0,4,5,0,0,1,0,0,2,0,0,0,0,1,0,9,6,2,1,2,7,0,1,0,0,0,1,0,2,4,4,0,1,0,4,0,0,1,1,0,1,1,1,1,4,6,0,4,0,0,6,3,0,2,2,1,0,2,0,1,0,0,1,1,1,3,0,2,0,1,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,4,1,2,0,3,0,1,1,0,3,0,0,9,0,0,0,0,2,0,1,1,2,3,4,2,1,1,0,1,0,3,0,3,1,1,2,0,4,2,0,0,2,4,0,0,1,0,0,5,1,3,3,3,1,0,0,3,0,2,1411
삼선동,3,0,2,8,3,5,2,3,7,13,4,4,28,7,20,2,29,3,5,0,4,1,3,4,3,6,2,5,7,3,4,2,3,0,3,3,1,1,1,0,0,2,2,1,2,2,7,1,1,1,0,0,4,1,2,3,1,1,3,1,0,5,2,8,3,7,6,1,4,5,3,1,2,0,3,0,8,3,1,3,0,0,2,0,16,5,18,0,0,4,1,1,5,0,3,1,1,0,2,7,1,7,2,1,5,6,1,3,4,1,29,67,46,100,12,46,13,11,18,20,9,8,17,6,6,134,0,132,25,14,10,3,5,21,7,14,13,14,22,7,11,5,17,4,6,12,8,5,5,1,2,12,0,8,1,1,1,6,2,2,3,1,0,0,1,4,2,4,2,4,1,4,2,7,5,5,4,5,0,0,0,8,3,4,1,1,1,0,8,9,3,4,0,4,2,0,5,3,2,3,0,7,6,0,6,5,2,0,3,3,6,5,0,1,0,3,3,0,0,3,4,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,2,12,3,1,0,8,1,0,0,1,2,4,0,0,6,3,1,0,2,8,5,2,0,4,0,0,2,0,1,0,6,0,0,0,0,5,7,3,7,0,0,0,3,0,0,0,2,1,6,6,2,3,3,0,3,0,0,1,1,1,2,5,10,1,1,1,0,2,0,5,4,0,0,1,3,2,2,2,3,4,4,0,4,4,2,6,2,5,2,4,5,8,1,1,6,6,2,5,1,2,2,5,0,0,0,4,0,0,2,4,3,2,0,0,0,1,0,1,0,0,2,0,1,0,1,2,6,1,1,0,0,0,4,1,1,3,2,0,0,5,24,0,3,0,3,0,1,3,7,0,1,2,0,4,5,2,3,0,6,3,0,0,0,0,1,3,1,1,2,2,1,3,2,0,0,0,6,2,3,2,2,0,1,3,2,2,1926
동선동,1,0,1,1,0,0,3,5,10,7,2,1,3,4,18,0,17,0,0,4,2,1,5,2,1,12,4,1,6,4,0,6,5,2,0,6,0,3,1,1,0,1,5,0,8,4,7,1,1,0,2,1,1,0,2,0,1,4,1,0,5,7,12,4,3,10,0,7,0,0,4,0,2,2,2,1,5,3,0,6,1,0,4,0,10,7,1,0,7,6,2,2,0,1,2,0,1,3,2,6,4,6,0,1,4,3,1,6,4,2,41,109,55,51,53,47,41,19,22,32,10,16,11,2,7,61,115,0,29,5,15,7,5,15,4,24,10,36,19,11,17,4,10,9,13,3,1,6,1,6,7,11,2,3,9,6,3,4,5,2,2,1,0,5,1,7,5,6,0,10,7,3,8,11,4,4,4,6,0,2,3,8,1,0,2,1,0,7,12,4,1,1,0,11,1,3,10,1,2,0,2,1,3,2,4,4,2,9,1,1,9,3,5,4,1,3,7,4,1,3,12,6,1,6,1,1,1,0,1,0,1,0,1,0,5,3,0,0,0,3,4,3,2,0,4,0,3,1,7,3,4,0,0,0,4,1,1,1,7,3,1,3,0,1,3,0,0,0,0,6,1,0,4,2,1,0,4,2,1,2,1,4,0,0,0,0,1,4,4,3,3,9,1,1,0,4,1,0,0,0,1,13,1,2,1,9,1,4,1,8,3,1,0,4,0,1,1,7,2,4,2,10,8,1,3,0,1,1,4,5,6,0,6,5,4,1,9,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,0,3,2,2,0,4,0,1,8,2,3,0,0,1,0,0,2,2,2,0,0,2,6,1,0,0,3,0,2,1,10,0,0,4,1,2,5,4,3,2,0,6,7,0,0,0,2,2,0,1,3,1,0,1,4,1,2,1,1,1,1,2,0,0,2,0,3,1,1973
종암동,0,0,1,5,0,1,0,4,1,0,4,5,9,2,17,2,13,0,0,0,1,0,3,2,4,22,2,3,5,0,1,5,2,2,0,3,0,1,2,0,1,2,4,1,4,7,2,0,4,8,4,11,10,5,0,4,1,3,3,2,3,7,19,5,3,4,3,2,6,0,7,0,4,1,4,13,3,1,0,13,7,0,2,7,32,27,25,0,3,4,3,5,4,5,1,1,1,2,2,6,4,5,8,1,0,6,5,4,6,15,47,17,39,32,23,20,16,31,49,95,76,79,27,11,32,10,26,21,0,31,17,10,11,12,7,17,12,20,37,22,25,19,10,8,4,5,9,10,9,5,7,8,7,6,12,7,4,12,9,12,13,4,14,2,16,4,4,0,3,6,5,2,24,6,8,3,4,6,1,1,1,2,1,5,7,1,5,12,2,3,1,3,6,1,0,2,0,5,3,0,1,4,2,2,6,4,5,0,5,3,2,0,3,4,2,3,3,2,2,3,6,12,4,1,2,0,2,0,1,0,0,1,1,1,2,0,0,1,4,3,8,7,1,2,0,0,3,0,7,0,5,1,0,3,1,1,0,2,6,2,5,0,2,1,4,5,2,4,0,0,1,1,1,5,0,0,2,2,2,0,0,2,1,0,1,0,6,7,4,5,4,2,2,0,0,0,7,1,1,2,2,11,0,6,1,6,1,1,1,7,2,0,3,4,0,5,5,3,3,2,3,7,4,3,0,3,4,3,6,2,8,0,2,10,4,1,7,0,0,2,2,3,2,0,1,0,4,2,6,0,1,0,1,0,1,0,2,3,0,3,1,0,4,6,3,6,12,2,0,3,3,0,0,4,0,15,0,6,5,17,0,7,0,3,1,0,0,5,3,1,2,0,4,0,0,5,5,2,7,6,0,5,0,6,2,0,0,1,17,3,2,3,0,1,0,5,4,2,0,1,0,1,0,1,1,2292
석관동,0,1,2,0,0,0,2,1,2,5,0,1,2,2,11,0,1,1,2,0,0,3,0,4,0,2,0,4,1,2,4,5,4,0,1,2,0,3,2,4,3,2,0,2,4,1,4,4,6,5,2,3,0,1,2,0,4,0,1,1,0,3,8,2,1,1,6,3,1,2,5,0,1,4,1,7,5,8,4,11,9,8,5,1,6,1,17,0,2,13,6,23,127,2,5,0,4,15,10,14,11,17,22,11,4,12,10,11,18,12,2,3,11,8,1,8,5,11,7,17,27,54,83,90,49,5,9,9,40,0,12,4,14,12,14,15,6,12,12,11,7,6,12,5,2,8,1,7,8,10,9,5,9,13,4,7,17,55,35,90,35,17,9,22,25,8,14,2,8,8,5,7,5,10,6,26,2,4,1,2,0,0,1,5,4,0,1,13,6,1,1,1,1,8,12,0,3,11,0,4,0,6,3,1,4,6,3,1,2,2,2,3,1,2,2,3,2,0,1,4,7,8,0,5,0,1,0,3,1,0,0,2,0,3,0,2,3,4,3,3,3,3,3,1,5,3,0,0,6,2,5,1,1,1,0,0,1,0,6,2,2,0,4,0,4,4,1,0,1,7,2,0,1,2,0,0,4,10,1,4,0,1,0,0,0,0,4,3,1,2,0,5,1,0,0,0,1,0,2,4,2,5,1,0,1,2,9,2,1,6,1,1,3,3,1,5,11,3,2,2,0,0,1,4,1,0,4,2,4,0,5,2,2,8,5,2,2,0,4,3,0,0,0,5,0,0,1,0,1,0,0,0,0,2,1,2,2,0,0,2,1,0,3,1,3,5,1,0,0,0,3,0,3,1,3,7,1,1,1,3,2,0,0,2,2,2,0,6,7,3,2,2,4,1,0,0,3,0,0,1,1,0,0,10,0,2,2,7,4,1,0,6,4,1,2,1,1,0,2,2,0,1,0,6,2,2199
번1동,0,0,1,2,0,1,1,3,0,0,0,2,0,0,5,0,5,0,1,1,0,1,3,1,1,3,0,5,6,1,0,2,2,0,1,1,3,0,2,1,1,0,0,0,2,5,0,1,1,0,0,2,4,0,0,0,0,0,2,0,0,3,7,0,0,9,0,3,8,2,7,2,1,2,3,0,2,2,0,2,1,0,1,0,6,1,3,0,1,1,3,0,0,1,0,3,1,4,4,7,3,8,5,6,0,3,1,3,2,5,3,3,3,8,5,5,5,5,8,13,0,3,17,10,7,6,3,3,11,8,0,110,56,50,39,218,24,54,27,31,19,31,62,35,24,21,17,19,22,19,31,140,83,16,34,10,18,7,25,10,5,1,1,7,2,3,14,6,8,10,4,9,19,16,7,7,1,2,1,4,0,8,2,0,0,1,3,5,2,6,2,4,0,0,1,1,1,1,0,0,0,2,0,1,2,2,0,0,1,0,2,1,1,0,0,1,2,3,1,0,1,1,0,1,2,0,1,3,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,3,2,1,0,0,0,0,0,0,0,0,2,1,0,0,6,1,5,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,8,4,0,1,0,2,0,0,1,1,2,1,2,4,1,0,1,2,0,1,0,3,0,0,0,3,0,0,2,2,1,1,1,0,1,3,0,3,7,2,0,5,0,3,0,3,0,2,2,4,2,4,1,2,1,0,2,3,2,0,7,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,6,2,0,0,1,0,0,1,0,1,4,0,0,0,1,0,0,1,2,0,0,0,5,0,2,1,0,3,5,4,0,2,2,3,2,0,0,0,0,0,2,1,1,2,0,0,2,0,1,0,2,3,0,1,0,0,1,0,1,1,1986
번2동,0,0,0,0,0,0,0,0,2,3,1,1,5,0,1,0,0,0,0,0,0,0,3,2,0,0,1,1,1,2,0,0,2,0,2,0,0,0,0,2,3,1,0,1,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,1,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,2,0,0,1,7,0,3,3,1,0,0,0,2,3,5,0,0,0,0,4,3,1,5,7,2,5,6,6,4,8,2,4,1,12,9,46,0,88,21,0,47,10,52,53,19,5,17,17,13,14,13,4,6,2,3,10,26,17,3,2,3,5,6,13,3,3,0,1,2,7,0,3,0,1,4,0,2,6,2,6,16,1,0,0,0,0,3,1,0,0,2,0,4,3,4,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,4,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,2,1,2,0,0,1,1,1,1,0,0,0,2,0,1,0,7,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0,2,2,2,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,5,0,1,1,0,1,3,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,891
